,city,cloudiness,country,date,humidity,lat,lng,max_temp,max_speed
310,preobrazheniye,6,RU,1570852387,34,42.9,133.91,54.46,6.48
311,altus,1,US,1570852388,45,34.64,-99.33,48.2,5.72
312,caravelas,5,BR,1570852390,92,-17.73,-39.27,69.4,4.86
313,pandan,51,PH,1570852392,69,11.72,122.09,83.26,6.48
314,pangnirtung,100,CA,1570852393,96,66.15,-65.72,27.46,12.72
315,nanortalik,100,GL,1570852394,90,60.14,-45.24,38.44,21.22
316,saint-philippe,1,CA,1570852396,70,45.36,-73.48,55.99,11.41
317,alghero,0,IT,1570852397,100,40.56,8.32,48.2,2.24
318,alyangula,0,AU,1570852398,52,-13.85,136.42,87.8,9.17
319,auki,96,NG,1570852400,85,12.18,6.51,74.08,10.6
320,te anau,99,NZ,1570852401,91,-45.41,167.72,41.68,3.65
321,erenhot,0,CN,1570852402,32,43.65,111.97,37.36,17.56
322,nizhniy kuranakh,100,RU,1570852404,87,58.84,125.49,18.64,15.22
323,timbiqui,100,CO,1570852405,95,2.77,-77.67,74.26,2.38
324,straumen,100,NO,1570852406,100,63.87,11.3,43.0,6.93
325,manali,0,IN,1570852408,50,32.25,77.19,55.18,1.55
326,gangoh,0,IN,1570852409,68,29.78,77.26,73.54,4.25
327,kondinskoye,100,RU,1570852411,79,59.65,67.41,39.16,12.47
328,vao,100,EE,1570852413,96,59.1,26.19,50.86,14.15
329,daru,75,PG,1570852414,63,-9.07,143.21,84.7,6.9
330,paamiut,63,GL,1570852415,87,61.99,-49.67,35.38,8.69
331,tiksi,100,RU,1570852417,95,71.64,128.87,22.42,6.2
332,san cristobal,99,HN,1570852418,93,14.68,-86.92,65.44,3.88
333,albanel,20,CA,1570852419,93,48.88,-72.44,51.01,5.78
334,montpelier,90,US,1570852421,81,44.26,-72.58,55.0,2.8
335,kaitangata,100,NZ,1570852422,77,-46.28,169.85,46.0,15.99
336,tecoanapa,90,MX,1570852425,79,16.99,-99.26,84.2,3.36
337,yerbogachen,16,RU,1570852426,67,61.28,108.01,23.68,6.92
338,bahia honda,0,CU,1570852427,83,22.9,-83.16,78.58,9.9
339,shitanjing,100,CN,1570852429,33,39.23,106.34,66.99,3.0
340,panama city,1,US,1570852430,83,30.16,-85.65,77.0,4.7
341,constitucion,90,MX,1570852431,63,23.99,-104.67,64.4,11.41
342,vostok,0,RU,1570852433,30,46.45,135.83,37.54,8.42
343,matamoros,90,US,1570852434,62,25.87,-97.51,60.8,14.99
344,lagoa,75,PT,1570852438,88,37.14,-8.45,70.0,3.36
345,sekoma,39,BW,1570852439,68,-24.51,23.93,59.68,8.89
346,hokitika,86,NZ,1570852440,78,-42.72,170.96,55.18,8.99
347,thanh hoa,40,VN,1570852442,79,10.21,106.33,86.0,4.7
348,ilhabela,0,BR,1570852443,86,-23.78,-45.36,73.72,7.21
349,hovd,100,NO,1570852444,100,63.83,10.7,44.01,6.93
350,mae ramat,20,TH,1570852446,70,16.98,98.52,84.2,2.24
351,novita,100,CO,1570852447,97,4.96,-76.61,71.02,1.05
352,isangel,75,VU,1570852448,54,-19.55,169.27,84.2,11.41
353,rawson,39,AR,1570852450,62,-43.3,-65.11,54.64,15.94
354,varnamo,99,SE,1570852451,100,57.19,14.04,48.99,10.29
355,shetpe,81,KZ,1570852452,33,44.14,52.16,55.9,13.52
356,brownsville,90,US,1570852453,62,25.91,-97.49,60.8,14.99
357,banepa,20,NP,1570852455,73,27.63,85.52,69.8,2.24
358,souillac,38,FR,1570852456,82,45.6,-0.6,63.0,5.82
359,katsuura,75,JP,1570852457,78,33.93,134.5,75.2,28.86
360,pinega,100,RU,1570852459,91,64.7,43.39,38.08,10.42
361,atambua,0,ID,1570852460,48,-9.11,124.89,84.88,6.68
362,tabuk,15,PH,1570852461,69,17.41,121.44,80.56,6.62
363,rodeo,100,MX,1570852463,58,25.18,-104.56,66.88,2.16
364,kilindoni,75,TZ,1570852464,83,-7.91,39.67,79.48,14.02
365,trimbak,83,IN,1570852465,80,19.93,73.53,75.7,5.99
